protein1,protein2,Label
327505.A0A2H3I9A0,510516.Q2URW5,0
1126212.K2QLL3,1126212.K2QQB7,1
1081102.A0A167MLW8,1081102.A0A167X0R3,1
944018.H8ZDM2,944018.H8ZFF0,1
2211642.A0A4Q4YBS9,50990.A0A4Y7Q530,0
91928.A0A0D1ZF82,931890.G8JRR6,0
1116229.S3DET7,1974281.A0A1V8UII2,0
56408.A0A1E5R4W7,56408.A0A1E5RGT5,1
48697.A0A101MLS6,554155.C5FT17,0
671987.R0IA41,671987.R0J2K4,1
139825.A0A401G675,139825.A0A401GBM9,1
50376.A0A517L744,50376.A0A517LQ70,1
112498.A0A2D3VF53,231916.A0A409VBH5,0
1220162.K1WYH5,5007.A0A3F2Y1F6,0
1137138.A0A067NJ30,13291.A0A177VRS8,0
48697.A0A101MCJ1,48697.A0A101MI88,1
502780.A0A0A0HVH2,747725.A0A162QCB2,0
675824.A0A1E3QI74,90262.A0A1X2IRL2,0
879819.A0A0J0XNI3,879819.A0A0J0XUV2,1
454286.A0A0J8QPA8,454286.A0A0J8QT96,1
1280837.A0A316V9Y7,1280837.A0A316VA39,1
1016849.A0A0D1YVL1,1016849.A0A0D1ZKX3,1
1126212.K2QLL3,1295531.A0A1E3IF67,0
576137.A0A1L7X4T3,77020.A0A0M8MTA2,0
77020.A0A0M8MJ22,77020.A0A0M8MMK7,1
336722.F9XJ78,396776.A0A0J8RQS1,0
1073089.A0A1L9S0M9,77020.A0A0M8MX27,0
1116229.S3CNJ3,1314783.A0A165UJ96,0
1263082.A0A068SBC9,329046.A0A1Y2CPK4,0
2082308.A0A2K1QFM3,2082308.A0A2K1QYG8,1
36646.A0A1V6UJ34,36646.A0A1V6UUT8,1
1447883.A0A2B7Z113,1684307.A0A316U629,0
1245769.A0A0C7N8K3,2082308.A0A2K1QM40,0
1081109.A0A166V7W9,5078.A0A135LE84,0
294750.A0A095C941,452589.G9P050,0
443226.E9CRC5,660122.C7YW78,0
1137138.A0A067NF01,1555241.A0A4P9X4W2,0
106004.A0A1Y2FHS5,106004.A0A1Y2FL43,1
27334.A0A0A2ILH8,86630.A0A367JVM0,0
105984.A0A427XQL7,215250.A0A316YGP6,0
1116229.S3CQP7,500485.B6HI47,0
1306861.A0A4U6X277,771870.F7VPS3,0
289078.A0A2X0K9K0,289078.A0A2X0KVZ0,1
341454.A0A4S2N4S8,341454.A0A4S2N704,1
1160509.A0A3N4HXE5,1442371.A0A0D2J2U5,0
502780.C1GHV7,763406.A0A1E3NQV4,0
1531966.A0A0A1TF74,284593.Q6FVK0,0
644352.J3NGI2,644352.J3P9Y9,1
645133.E3QC96,655863.F0XTK6,0
1230383.A0A1M8AAK1,1230383.M5EQ12,1
329885.A0A4U0UM21,500485.B6HAM5,0
2028339.A0A421JVP3,48697.A0A101MAK3,0
1001833.A0A1Y2WLA4,1974281.A0A1V8V7P6,0
1109443.G4TAE1,1789683.A0A1X7QZ20,0
1399860.A0A2C5Y4F8,1399860.A0A2C5YG13,1
154538.A0A1M2VZC6,933852.A0A0C3AYH4,0
644352.J3NZE4,644352.J3P847,1
2211647.A0A4Q4UT48,717646.M2MQH5,0
1116229.S3CZP7,983506.L8WIF2,0
1081109.A0A167XJF6,1182545.A0A072PU16,0
1437433.A0A093Y4S6,1437433.A0A094AYD9,1
1365824.V5EST8,42249.A0A317SGQ5,0
1149755.A0A2J6RKK4,155417.A0A4Q4TI58,0
1245769.A0A0C7NG18,5364.A0A5C3N2Q4,0
763665.A0A2G5B9J8,763665.A0A2G5BJF7,1
416450.A0A1V6Q8B5,984487.A0A1E4SIJ9,0
278938.A0A4Z1K0S9,278938.A0A4Z1K2W9,1
1230905.A0A1G4JF13,1230905.A0A1G4KDJ8,1
1071383.J7SB26,50376.A0A517KY94,0
1365484.W6Q442,27334.A0A0A2KEW0,0
796604.A0A2X0LVZ8,796604.A0A2X0LYG9,1
284813.Q8SS73,284813.Q8SSA6,1
357750.A0A2S6BX70,357750.A0A2S6C467,1
498019.A0A2H1A1Y2,984487.A0A1E4SEN5,0
1447883.A0A2B7YT81,1507870.A0A1V8SER9,0
578458.D8Q5I3,645134.A0A0L0HMP7,0
1353009.A0A1Y2IMW9,41688.A0A2N3N2A1,0
62708.A0A420IUT8,62708.A0A420IZ34,1
139825.A0A401GBT2,139825.A0A401H5E1,1
1213859.L2G636,1213859.L2GG39,1
321614.Q0V0D0,526221.C9SBS2,0
930992.A0A0D0B3W8,930992.A0A0D0BGH5,1
1445577.A0A010Q9E7,227321.C8V3Q7,0
1296120.A0A1B9GNG0,436010.A0A166FIL0,0
1348612.A0A397J1T4,50376.A0A517LD42,0
490622.A0A395NDZ8,554373.E2LUK5,0
1813822.A0A1V1TBS1,1813822.A0A1V1TH35,1
1042311.A0A2T3Z539,1042311.A0A2T3ZNF6,1
1276538.A0A1X7RYJ0,1276538.A0A1X7S1Q8,1
1314672.A0A166GPP4,60175.A0A1V6YYH0,0
763665.A0A2G5B685,763665.A0A2G5BKY9,1
1279085.S0DVY1,983644.G3J3U0,0
1043005.A0A074Z284,1173061.A0A0J9XD34,0
1296120.A0A1B9GMW8,1296120.A0A1B9GUU6,1
1262450.S3C7V8,52247.A0A4T0X4P9,0
5288.A0A5C5FWB7,98765.A0A2R6P0L4,0
1555241.A0A4P9X1K7,426428.A0A0D2XJX5,0
1160509.A0A3N4IHW9,670483.S7QCY4,0
1295533.A0A1E3I8H5,404692.A0A0J6YHV8,0
653667.S9VTA9,653667.S9W569,1
1051890.A0A3N4LQL2,486041.B0CVS6,0
284593.Q6FKV8,284593.Q6FT95,1
5454.A0A162WK36,5454.A0A163CNV7,1
1073089.A0A1L9RUT0,2656787.A0A370TJB1,0
1116229.S3CUJ8,1116229.S3DXC4,1
13291.A0A177VT50,13291.A0A177VX18,1
100816.A0A175VYR4,763407.A0A162ZYA7,0
1314785.A0A165IA80,763406.A0A1E3NHW7,0
1215338.A0A059JIN2,771870.F7W0Q1,0
1287680.R1EE43,1287680.R1ES71,1
327505.A0A2H3HL73,671987.R0KBL5,0
1165861.A0A0L0URP6,1165861.A0A0L0UWI6,1
1220924.W2RNP5,1220924.W2SF55,1
1622147.A0A1B8CH16,544712.C6HMQ6,0
1051891.A0A0C3KQL3,1803374.A0A372R3E1,0
205917.A0A4Y9YG06,5007.A0A3F2Y601,0
490622.A0A395NJ39,490622.A0A395NZ70,1
105984.A0A427XHP3,1569628.A0A316UYF3,0
149040.A0A194X548,149040.A0A194X8P2,1
498257.G2WSQ9,498257.G2XAD4,1
1314674.A0A0D7B0L7,1314674.A0A0D7BRS1,1
29833.A0A1E5R4I1,29833.A0A1E5RQQ0,1
1622147.A0A1B8CEL0,1622147.A0A1B8CPC8,1
1408157.A0A1J7IS64,1408157.A0A1J7JAC2,1
1353009.A0A1Y2IFR0,1353009.A0A1Y2IQ64,1
1555241.A0A4P9WX35,1555241.A0A4P9WZW9,1
56408.A0A1E5RF26,56408.A0A1E5RZA1,1
1835702.A0A1F5LBN3,1835702.A0A1F5LJP9,1
86630.A0A367JU86,94208.A0A2S4KVA7,0
1448316.A0A395GXW9,231916.A0A409Y6A4,0
2211645.A0A4Q4UEA4,2211645.A0A4Q4VQE1,1
1071380.I2H8K2,56408.A0A1E5RH43,0
1622147.A0A1B8BZ35,1622147.A0A1B8C4Y3,1
1445577.A0A010QI92,4846.A0A367IIB2,0
1314781.A0A165R2P1,2082308.A0A2K1R086,0
692275.M3CYZ7,692275.M3DA82,1
34475.A0A4Y9Y060,34475.A0A4Y9Z7I1,1
1051891.A0A0C3Q7J7,253628.A0A0D1Z033,0
1314785.A0A165DF28,665079.A7E4D0,0
1603295.A0A0S6XFY6,86630.A0A367K4T6,0
401625.A0A0P1BLV1,87229.A0A4Z1KKH2,0
1974281.A0A1V8UA84,665912.M2RM42,0
490622.A0A395NSB8,490622.A0A395NU82,1
930991.A0A0D0DXF3,930991.A0A0D0E6M2,1
1276538.A0A1X7RQ31,1276538.A0A1X7RZ87,1
1403190.A0A0F0ID35,546991.N1J6W0,0
1391699.A0A094AEL6,87229.A0A4Z1K8Y7,0
5217.A0A4V1M546,573508.A0A1E3BET4,0
149040.A0A194WTT0,149040.A0A194X1J0,1
546991.N1J775,546991.N1J8N6,1
1037660.A0A066W3C3,1037660.A0A066WHF2,1
1789683.A0A1X7R4W6,1789683.A0A1X7R6Y1,1
984486.A0A1E3QKW7,984486.A0A1E3QQK0,1
1280837.A0A316VBY2,573729.G2Q7W7,0
544712.C6H5J3,767769.A0A1L9U6N9,0
215250.A0A316YMB6,215250.A0A316YU35,1
554155.C5FCK4,554155.C5FND8,1
269621.A0A238F8Z2,486041.B0DFA0,0
71717.A0A4Y7ST96,71717.A0A4Y7TPX7,1
1126212.K2R9D2,1126212.K2SD45,1
1016849.A0A0D1YSX2,510952.G4U6P8,0
86049.A0A1C1C927,86049.A0A1C1CL36,1
1076872.G8ZQT9,1081105.A0A167BQF8,0
1420906.A0A094AHN8,1420906.A0A094AP16,1
1380566.A0A179F165,1380566.A0A179FZG1,1
447093.C0NLW6,447093.C0NY68,1
2082308.A0A2K1QWK8,546991.N1J614,0
13291.A0A177TWB2,13291.A0A177VP72,1
5078.A0A135LJS5,5078.A0A135LRP6,1
