,protein1,protein2,Label
0,3641.A0A061DVC6,3641.A0A061FUJ6,1
1,4538.I1PBA6,4538.I1Q9Y3,1
2,1088818.A0A2H9ZW07,1088818.A0A2I0BGG7,1
3,43335.A0A4U5MCN0,43335.A0A4U5PR54,1
4,4097.A0A1S4B0H0,4097.A0A1S4D4B9,1
5,4565.A0A3B6QBS2,4565.W5C4N7,1
6,981085.W9RCH0,981085.W9RKL9,1
7,41875.K8EIR7,41875.K8ESD0,1
8,4097.A0A1S4ADF4,4097.A0A1S4BUR9,1
9,3659.A0A0A0K3C4,3659.A0A0A0LA99,1
10,29730.A0A0D2TG62,29730.A0A0D2VJA0,1
11,4097.A0A1S3ZQK8,4097.A0A1S3ZWL1,1
12,4536.A0A0E0H248,4536.A0A0E0I821,1
13,554055.A0A2P6V9I6,554055.A0A2P6VGT7,1
14,33114.A0A2G2W1C4,33114.A0A2G2X835,1
15,4536.A0A0E0I2Y4,4536.A0A0E0IWX4,1
16,4538.I1QHV3,4538.I1QP13,1
17,1088818.A0A2I0AXX7,1088818.A0A2I0BA02,1
18,981085.W9RI03,981085.W9RXX8,1
19,33097.A0A150G570,33097.A0A150H5P7,1
20,49451.A0A1J6I3T5,49451.A0A1J6JDQ6,1
21,4533.J3L6X5,4533.J3N8C6,1
22,4540.A0A140GZ65,4540.A0A3L6SFR6,1
23,3916.A0A1S3TX54,3916.A0A1S3UWZ6,1
24,3469.A0A4Y7IUB5,3469.A0A4Y7JB82,1
25,4081.A0A3Q7HJU4,4081.A0A3Q7IAY0,1
26,55188.A0A2H5NJS5,55188.A0A2H5PF91,1
27,3775.A0A1Q3BM76,3775.A0A1Q3D980,1
28,4540.A0A3L6QE49,4540.A0A3L6TMV9,1
29,4572.M7ZLX4,4572.M8A8D6,1
30,4565.A0A3B6PHL7,4565.A0A3B6TG47,1
31,3821.A0A151R3L1,3821.A0A151U305,1
32,4155.A0A022PYN7,4155.A0A022Q3M2,1
33,3702.A0A2P2CLH2,3702.Q42599,1
34,3750.A0A498HI08,3750.A0A498KHS4,1
35,85681.V4T3P2,85681.V4VHZ7,1
36,981085.W9QIN8,981085.W9RZA6,1
37,4565.A0A3B6C5D4,4565.A0A3B6FNM3,1
38,39947.P0C358,39947.Q8S7H8,1
39,4565.A0A3B6GP59,4565.A0A3B6HXB6,1
40,4529.A0A0E0NTS1,4529.A0A0E0Q2M0,1
41,3659.A0A0A0KXL1,3659.A0A0A0L0F9,1
42,4536.A0A0E0FYT9,4536.A0A0E0G0X1,1
43,4565.A0A3B6KD97,4565.A0A3B6SH09,1
44,33097.A0A150G4H6,33097.A0A150GCL5,1
45,4533.J3LEA2,4533.J3LEX4,1
46,4540.A0A140GZ17,4540.A0A3L6TIF2,1
47,145388.A0A0D2JZL0,145388.A0A0D2MJY5,1
48,4540.A0A3L6PK94,4540.A0A3L6THJ7,1
49,4540.A0A3L6RJT3,4540.A0A3L6T4Z6,1
50,3885.V7BA47,3885.V7BJS2,1
51,3983.A0A2C9UJD7,3983.A0A2C9W2H3,1
52,3827.A0A1S2XLJ2,3827.A0A1S2YGW8,1
53,4538.I1NXT4,4538.I1PM45,1
54,29730.A0A0D2TRS6,29730.A0A0D2V0Q7,1
55,22663.A0A2I0IV30,22663.A0A2I0JQZ1,1
56,888268.A0A1E5VAT1,888268.A0A1E5VR70,1
57,3988.B9S202,3988.B9S7B7,1
58,33114.A0A2G2V3N5,33114.A0A2G2WR25,1
59,3659.A0A0A0KWF0,3659.A0A0A0LVP3,1
60,35608.A0A2U1L558,35608.A0A2U1M376,1
61,4540.A0A3L6QKR2,4540.A0A3L6RXA6,1
62,35608.A0A2U1P3H3,35608.A0A2U1QM85,1
63,4565.A0A1D5V0W8,4565.A0A1D6CXT4,1
64,3988.B9RWE0,3988.B9SXP0,1
65,3775.A0A1Q3D9P2,3775.A0A1Q3DE65,1
66,22663.A0A218XZH2,22663.A0A2I0I9J3,1
67,4536.A0A0E0GWH8,4536.A0A0E0J3C2,1
68,40149.A0A0E0CAH2,40149.A0A0E0D741,1
69,55188.A0A2H5NBW7,55188.A0A2H5NSJ1,1
70,145388.A0A0D2J3N2,145388.A0A0D2M042,1
71,81985.R0GCK9,81985.R0I9N6,1
72,70448.A0A090M785,70448.Q012Q1,1
73,65489.A0A0D3FRD5,65489.A0A0D3H0X9,1
74,4565.A0A3B6EJW6,4565.A0A3B6IXC3,1
75,3885.V7AID0,3885.V7BFT5,1
76,33114.A0A2G2X0E5,33114.A0A2G2X814,1
77,4072.A0A1U8FCJ1,4072.A0A1U8H1I9,1
78,3821.A0A151R3L1,3821.A0A151TQ18,1
79,3988.B9S8E1,3988.B9SK56,1
80,4540.A0A140GZ25,4540.A0A140GZ74,1
81,49451.A0A1J6JCN5,49451.A0A1J6JU66,1
82,39947.Q5WMV0,39947.Q6YU78,1
83,43335.A0A4U5MZM8,43335.A0A4V6A9J6,1
84,22663.A0A2I0HU26,22663.A0A2I0JG46,1
85,4565.A0A3B5XYA7,4565.A0A3B6FQU7,1
86,33097.A0A150FV26,33097.A0A150GID5,1
87,3702.Q9CAD0,3702.Q9XGN1,1
88,4533.J3LMU5,4533.J3MGW3,1
89,109376.A0A0D3AJH2,109376.A0A0D3CKE7,1
90,4537.A0A0E0KBL4,4537.A0A0E0KI95,1
91,157652.A0A371F7C4,157652.A0A371FV57,1
92,55188.A0A2H5Q350,55188.A0A2H5QSC2,1
93,3635.A0A1U8I7U2,3635.A0A1U8MY99,1
94,55188.A0A2H5MZZ4,55188.A0A2H5Q228,1
95,554055.A0A2P6VDY4,554055.A0A2P6VEH7,1
96,3075.A0A087SJ28,3075.A0A087SKF4,1
97,3827.A0A1S2XLU0,3827.A0A1S2XVK4,1
98,35608.A0A2U1KJ64,35608.A0A2U1P9I8,1
99,554065.E1Z850,554065.E1Z8K1,1
100,3708.A0A078EGM9,4533.J3NC09,0
101,1590841.A0A2R6RD75,3880.G7KKA7,0
102,554055.A0A2P6VAI3,72664.V4MDV3,0
103,33114.A0A2G2WNU7,40148.A0A0E0BLG8,0
104,109376.A0A0D3ECY0,35608.A0A2U1N2U6,0
105,3775.A0A1Q3CZL5,3988.B9SDW7,0
106,4533.J3LDF6,4565.A0A3B6PN51,0
107,3916.A0A1S3TX54,4565.A0A3B6I1R9,0
108,40148.A0A0E0B3F7,70448.Q016G8,0
109,4081.A0A3Q7FVB4,4540.A0A3L6QPC7,0
110,109376.A0A0D3D5I3,4537.A0A0E0KLN6,0
111,3885.V7BNZ0,43335.A0A4U5N0U3,0
112,554065.F2YGR0,72664.V4MG35,0
113,145388.A0A0D2MRP4,4097.A0A1S4A0F9,0
114,4577.C4J192,77586.A0A0D9X3Y1,0
115,109376.A0A0D3BSF9,33114.A0A2G2WFD6,0
116,3916.A0A1S3V983,65489.A0A0D3FKE7,0
117,63057.A0A2P5E800,80379.A0A2G3BYW7,0
118,3880.A0A072U9T9,4537.A0A0E0MLL6,0
119,4572.M7ZSB7,72664.V4MWF7,0
120,3702.Q8H1U4,4577.B4FNY2,0
121,3760.M5X4U1,3885.V7BQ45,0
