protein1,protein2,Label
1071382.H2B0L4,1314672.A0A166KMR9,0
935791.I3EG93,935791.I3EI18,1
1448316.A0A395GJ62,1448316.A0A395GM57,1
1206466.K0KAQ4,1206466.K0KR39,1
1036611.A0A1L9PT18,2039875.A0A369GZ00,0
342668.A0A1B8GY40,447093.C0NM74,0
1745343.A0A2J6Q795,332952.B8NMC5,0
692275.M3D9P3,692275.N1QHE9,1
1182542.W9Z5C7,1789683.A0A1X7R2W4,0
944018.H8ZCE5,944018.H8ZDJ1,1
284592.Q6BNM0,284592.Q6BXA1,1
1805483.A0A177EJL3,1805483.A0A177EMT2,1
1263082.A0A068RN11,336963.C4JJ97,0
139420.A0A371DBS3,4999.A0A1Y1UPK4,0
36646.A0A1V6U8J2,416450.A0A1V6QH08,0
1314776.A0A166H782,1314776.A0A166H8L3,1
29845.A0A1V6S3B6,658196.A0A397TJW1,0
1622147.A0A1B8CF22,50376.A0A517LLH2,0
1165861.A0A0L0VTU4,1165861.A0A0L0VUC1,1
77020.A0A0M8MNM6,77020.A0A0M9VMR6,1
56484.A0A1Y2EW80,56484.A0A1Y2FIC2,1
1295533.A0A1E3HU89,1295533.A0A1E3I4Q7,1
1382522.W6MLM1,5364.A0A5C3NBD9,0
1182544.W9VGI7,1330021.A0A367LCJ9,0
37992.A0A4Z0YCV3,37992.A0A4Z0YMM7,1
48697.A0A101MJG2,498019.A0A2H1A770,0
149040.A0A194XE76,269621.A0A238F7T9,0
1805483.A0A177EJV6,708197.A0A166R6N1,0
1287681.M7SP43,1325734.A0A428QLP9,0
1073090.A0A1L9S8C9,1073090.A0A1L9SP54,1
871575.W1QCI5,871575.W1QGS3,1
1109443.G4TFK7,930990.A0A067MTE0,0
454286.A0A0J8U3D0,71717.A0A4Y7T8D5,0
1036808.A0A0C3A0T2,339724.A6RFR6,0
1358809.S7WAG4,646526.A0A1W0E7E4,0
1858805.M5G327,227321.Q5AZW4,0
1229662.W3WUG5,1296100.A0A1B9G5I8,0
4999.A0A1Y1U803,4999.A0A1Y1UB51,1
1420909.A0A094CGQ3,58919.A0A316ZHL6,0
1182541.W9YNK0,1266660.A0A1G4JAD7,0
554155.C5FPJ8,658196.A0A397SNC6,0
1051891.A0A0C3KB88,1358809.S7WB46,0
1280837.A0A316VFB4,1280837.A0A316VHX6,1
1314800.A0A1B7MUZ8,1314800.A0A1B7N687,1
1036611.A0A1L9PC34,50990.A0A4Y7Q8N2,0
158607.A0A2P5I3Q0,36022.A0A1V2L9F5,0
5627.A0A1C7M8L7,993615.L2GK75,0
336963.C4JIG8,336963.C4JMM9,1
1077348.A0A2G8S0Y9,2028339.A0A421JNQ9,0
13291.A0A177U1E0,13291.A0A177UDJ3,1
418459.E3KY02,60169.A0A1V6N8U5,0
1245528.M3J4R6,1314785.A0A165E9W5,0
357750.A0A2S6CKG3,708197.A0A166Y1B5,0
554155.C5FGJ2,765257.A0A0D0A8K9,0
252740.A0A423W112,252740.A0A423W5K6,1
1173701.A0A066XCY5,28573.A0A0U1M8S9,0
342668.A0A1B8GBU0,342668.A0A1B8GMD8,1
348802.A0A0D2EP06,671987.R0JUS1,0
665079.A7EFP8,766039.A0A150UWW6,0
1314672.A0A166C2J1,1664694.A0A0N1HC37,0
1206466.K0KAX3,1206466.K0KZ54,1
443226.E9DBB4,645134.A0A0L0H8Q7,0
418459.E3KYX8,447093.C0NB42,0
60172.A0A1V6QRZ2,97972.A0A2V1DWX6,0
29833.A0A1E5RXV5,29833.A0A1E5RYU2,1
1215338.A0A059J2V0,154538.A0A1M2VE48,0
2211647.A0A4Q4U5F5,2211647.A0A4Q4USB1,1
658429.L8G4Z2,658429.L8G575,1
45286.A0A0X8HWM0,498019.A0A2H1A7Q4,0
1357716.A0A1S8W458,763665.A0A2G5BDF1,0
150374.A0A0M8MYW9,150374.A0A0M8N472,1
1485229.A0A2V1C403,1485229.A0A2V1C4K6,1
40296.A0A0A2LA01,40296.A0A0A2LN33,1
559295.C5E3C7,655827.E9E1N9,0
1097556.R4XNG3,60172.A0A1V6QZG9,0
1392255.A0A2I1C9H9,576137.A0A1L7XC00,0
1245769.A0A0C7NEK2,602072.A0A1R3S194,0
1448308.A0A2T2NCT2,1448308.A0A2T2P3S9,1
2211644.A0A4Q4WZS4,2211644.A0A4Q4YDT5,1
1357716.A0A1S8VMM6,1357716.A0A1S8W339,1
231916.A0A409YWR0,644223.C4R5C2,0
1391915.U7PSM4,1391915.U7Q1V3,1
1081105.A0A162JIM1,454130.A0A0U5G4H9,0
1432307.W9CIV0,322104.A3LUR2,0
45354.A0A1L0BJP5,658429.L8G250,0
1388766.A0A017SHY0,2211644.A0A4Q4YLI0,0
671144.I4Y5A2,671144.I4Y8H9,1
573508.A0A1E3B9U9,573508.A0A1E3BKR7,1
914237.A0A1E1JXU2,914237.A0A1E1L779,1
452589.G9NNQ8,573729.G2QK41,0
229533.I1RNC0,229533.I1RPW0,1
1035309.A0A2C5WZS2,50990.A0A4Y7QNT5,0
2211646.A0A4Q4V2P2,40296.A0A0A2L4G3,0
578462.A0A0L0S4K6,578462.A0A0L0S5A7,1
1016849.A0A0D1X133,526221.C9SIA5,0
158607.A0A2P5HWI1,73868.A0A1Y3NI84,0
5643.A0A060SM90,660025.F9FML8,0
2082308.A0A2K1R0P3,348901.A0A2I0S472,0
1081109.A0A167XM24,27334.A0A0A2KQS3,0
602072.A0A1R3R5P6,602072.A0A1R3RH51,1
1266660.A0A1G4JRG4,2211646.A0A4Q4VMW3,0
683960.A0A1E3NWK7,683960.A0A1E3PC39,1
60175.A0A1V6Y595,60175.A0A1V6YX05,1
1555241.A0A4P9X6X5,321146.A0A139HAI5,0
114155.A0A4Q9MQU4,114155.A0A4V6MVY8,1
1445577.A0A010QBI8,1445577.A0A010RTB1,1
106004.A0A1Y2EMG6,1081102.A0A167Z459,0
1043002.A0A074Y3F1,1442369.A0A0D2H8F0,0
383855.N1Q5P5,879819.A0A0J1B8V9,0
242507.G4MNY1,242507.G4N5Y6,1
619300.G3ASN7,97972.A0A2V1DBY4,0
645133.E3QDX8,645133.E3QUL6,1
578454.G8B8U1,578454.G8B9W8,1
109264.A0A1F7ZS43,670580.A0A1X6MQ85,0
104259.A0A0F7TVD0,765257.A0A0C9YLM9,0
278938.A0A4Z1K3B6,502780.C1GN89,0
229533.A0A1C3YK34,229533.I1RGA4,1
1213857.N4VIG0,1230097.A0A423XL05,0
1531966.A0A0A1TBF9,1531966.A0A0A1TR28,1
944018.H8ZB53,944018.H8ZEZ7,1
1245528.M3HLH5,1245528.M3ISZ2,1
1173061.A0A0J9X4C7,1173061.A0A0J9XJH4,1
578461.R0KMY1,578461.R0MAP2,1
1403190.A0A0F0I768,1403190.A0A0F0IDD2,1
1291518.A0A0D9NUF7,1291518.A0A0D9NZH4,1
29833.A0A1E5RQG4,29833.A0A1E5S193,1
13370.A0A448YJB7,13370.A0A448YLT4,1
1151754.M9MF33,1151754.M9MGV3,1
1348612.A0A397I125,1789683.A0A1X7R7S3,0
133381.A0A2T9Z223,1403190.A0A0F0I9V1,0
97972.A0A2V1DRG3,97972.A0A2V1E9X2,1
330879.Q4WTY3,554373.E2M6S7,0
683960.A0A1E3NXL3,683960.A0A1E3P670,1
1314790.A0A1Y1VV17,766039.A0A150VEP6,0
