protein1,protein2,Label
3659.A0A0A0KG56,3750.A0A498HS66,0
4538.I1QA92,4538.I1R2E3,1
3885.V7BK50,3885.V7BQC1,1
4155.A0A022R5L1,4155.A0A022S0V5,1
3708.A0A078FER8,80379.A0A2G3CJ50,0
4097.A0A1S3ZQK8,77586.A0A0D9XTZ5,0
4113.M1C5L2,81985.R0I7E9,0
3885.T2DNU9,3885.V7APW2,1
3476.A0A2P5C3N0,55188.A0A2H5NWH4,0
3641.A0A061DPQ7,3641.A0A061G753,1
3827.A0A1S3E7F9,3827.A0A3Q7X695,1
4565.A0A1D6B130,4565.A0A3B6C9F9,1
3983.A0A2C9VND8,41875.K8EU87,0
4538.I1PY03,4565.W5HFJ0,0
33114.A0A2G2WAJ3,554055.A0A2P6V003,0
4081.A0A3Q7GBF3,4081.A0A3Q7GUB6,1
1088818.A0A2I0A190,4555.K3ZWB6,0
145388.A0A0D2MQP4,39947.Q84PB5,0
3988.B9R9F9,3988.B9T3C0,1
85681.V4S4M7,85681.V4UK44,1
35608.A0A2U1LP62,35608.A0A2U1P5D7,1
3880.A0A072TX34,3880.G7JB86,1
3702.Q9FNY3,4536.A0A0E0GHS6,0
3988.B9S0B5,4537.A0A0E0M1D4,0
4540.A0A3L6QN23,4540.A0A3L6S0L9,1
1590841.A0A2R6S1W8,3880.G7LCC6,0
33097.A0A150FZK4,33114.A0A2G2WM43,0
35608.A0A2U1LFD7,4529.A0A0E0MU53,0
157652.A0A371FDD1,3775.A0A1Q3B2J2,0
218851.A0A2G5CEU3,218851.A0A2G5DQS3,1
4565.A0A3B6TPL7,4565.A0A3B6U6Q6,1
3827.A0A1S2XK61,63057.A0A2P5F5Q9,0
145388.A0A0D2KX10,41875.K8EGL3,0
1590841.A0A2R6QK02,39947.Q7XUA1,0
218851.A0A2G5DRS9,4536.A0A0E0GNZ6,0
35608.A0A2U1KG71,65489.A0A0D3GIG0,0
3885.V7AT29,4536.A0A0E0G477,0
4533.J3LKV9,4533.J3MQL5,1
29730.A0A0D2MYN9,3760.M5VL12,0
4097.A0A1S4AAF4,81985.R0G672,0
3469.A0A4Y7L4A3,81985.R0HJF1,0
1590841.A0A2R6R6X3,4540.A0A3L6PFH9,0
35608.A0A2U1KHA1,35608.A0A2U1P911,1
3775.A0A1Q3C2X4,3775.A0A1Q3CEU2,1
157652.A0A371GJB3,4533.J3MTI4,0
3750.A0A498KUM6,43335.A0A4U5PRA3,0
33097.A0A150GGX3,77586.A0A0D9VL23,0
4113.M1A6D6,4113.M1CBT7,1
157652.A0A371II92,4536.A0A0E0J8M2,0
4565.A0A3B6ASI2,4565.A0A3B6FS05,1
145388.A0A0D2M741,4529.A0A0E0P8B6,0
210143.A0A1R3G6J1,3880.G7K988,0
218851.A0A2G5FBP1,4565.A0A3B6JFQ0,0
4538.I1NTP1,4565.Q2QKB4,0
4537.A0A0E0K6V9,4537.A0A0E0LFM4,1
106549.A0A540LDL8,981085.W9R4S8,0
80379.A0A2G3BLU8,80379.A0A2G3CX99,1
4577.B4FU06,77586.A0A0D9VN56,0
4529.H6CSI6,81985.R0GC39,0
3702.Q9FNY3,4538.I1R821,0
106549.A0A540LA69,106549.A0A540ML40,1
39947.Q69MK0,63057.A0A2P5D1C8,0
3641.A0A061G7A6,43335.A0A4U5QF26,0
51351.M4CF39,72664.V4KJB8,0
1590841.A0A2R6PIV9,1590841.A0A2R6R5U0,1
3760.M5W169,81985.R0GLL7,0
3916.A0A1S3TJ09,3916.A0A1S3UGU3,1
4081.A0A3Q7F9C8,4081.A0A3Q7IKR1,1
33114.A0A2G2VH26,3775.A0A1Q3BSP9,0
3075.A0A087SRY2,4555.K4A5Y0,0
22663.A0A218XXN7,22663.A0A2I0L8P5,1
3914.A0A0L9TFH9,3914.A0A0L9TG92,1
39947.Q0JNL8,39947.Q8H936,1
4081.A0A3Q7JDJ8,81985.R0IB53,0
218851.A0A2G5E5L8,3885.V7ALF5,0
157652.A0A371IEK8,3055.A0A2K3DII3,0
4155.A0A022S3J1,4537.A0A0E0KH79,0
981085.W9QSD8,981085.W9S0E7,1
70448.A0A090LZP7,70448.A0A090MBV9,1
40148.A0A0D9Y6M9,40148.A0A0E0BVH6,1
29730.A0A0D2UQ74,3641.A0A061FZF6,0
210143.A0A1R3HNU9,210143.A0A1R3IRU8,1
4565.A0A3B6C3F3,4565.A0A3B6NJH9,0
3750.A0A498JZI4,63057.A0A2P5EEW1,0
4533.J3LAY5,554055.A0A2P6VHD0,0
29730.A0A0D2VVV6,3885.V7CN49,0
554055.A0A2P6V3T4,554055.A0A2P6V9Y2,1
4537.A0A0E0JGY3,4537.A0A0E0L041,1
3775.A0A1Q3AY80,3775.A0A1Q3BM76,1
106549.A0A540KEI3,4533.J3NCU4,0
70448.A0A090MBV9,70448.Q01CH5,1
22663.A0A218XT56,4072.A0A1U8H294,0
4097.A0A1S3Y184,4565.A0A3B6PJS3,0
157652.A0A371FTU5,157652.A0A371ICJ3,1
3885.V7BRS4,981085.W9QT38,0
29730.A0A0D2SZ59,4097.A0A1S4CQH1,0
3988.B9T018,40149.A0A0E0E487,0
4565.A0A3B6QKL4,85681.V4T9Z7,0
4536.A0A0E0FPE8,4536.A0A0E0JC58,0
4537.A0A0E0KIT0,4537.A0A0E0KYE3,1
3988.B9SV85,4577.A0A1D6J1U1,0
70448.A0A096P805,70448.Q01CH5,1
